epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.9375,0.4399157166481018,,
0,69,,,0.8671454191207886,0.406266450881958
1,99,0.84375,0.3577033281326294,,
1,139,,,0.9479353427886963,0.20664264261722565
2,149,1.0,0.12604045867919922,,
2,199,0.96875,0.13279882073402405,,
2,209,,,0.9784560203552246,0.11639917641878128
3,249,1.0,0.03497038036584854,,
3,279,,,0.9784560203552246,0.0858994796872139
4,299,0.984375,0.06888578832149506,,
4,349,0.9999999403953552,0.020038658753037453,,
4,349,,,0.9820466637611389,0.06926024705171585
5,399,1.0,0.01800241693854332,,
5,419,,,0.9820466637611389,0.05975751951336861
6,449,1.0,0.013944690115749836,,
6,489,,,0.9784560203552246,0.054810184985399246
7,499,1.0,0.007756546605378389,,
7,549,1.0,0.008038530126214027,,
7,559,,,0.9820466637611389,0.05313940718770027
8,599,0.96875,0.0745716542005539,,
8,629,,,0.9784560203552246,0.05298393964767456
9,649,1.0,0.013413185253739357,,
9,699,0.9999999403953552,0.009066764265298843,,
9,699,,,0.9802513718605042,0.05011966824531555
