epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.8125,0.5253133177757263,,
0,69,,,0.8671454191207886,0.4022563099861145
1,99,0.890625,0.29247671365737915,,
1,139,,,0.9605026841163635,0.21536898612976074
2,149,0.96875,0.13681970536708832,,
2,199,0.953125,0.16269254684448242,,
2,209,,,0.9676840305328369,0.13251593708992004
3,249,0.96875,0.08089281618595123,,
3,279,,,0.9712746739387512,0.10270628333091736
4,299,0.984375,0.05349135398864746,,
4,349,0.9756097197532654,0.08043511211872101,,
4,349,,,0.9748653769493103,0.08716697990894318
5,399,1.0,0.01978129893541336,,
5,419,,,0.9784560203552246,0.08015906065702438
6,449,1.0,0.019330807030200958,,
6,489,,,0.9802513718605042,0.07485106587409973
7,499,0.984375,0.021460022777318954,,
7,549,1.0,0.013976458460092545,,
7,559,,,0.9784560203552246,0.07284777611494064
8,599,0.984375,0.026313599199056625,,
8,629,,,0.9802513718605042,0.07213083654642105
9,649,1.0,0.020365288481116295,,
9,699,0.9999999403953552,0.00294357817620039,,
9,699,,,0.9820466637611389,0.07220704108476639
