epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.890625,0.5180839896202087,,
0,69,,,0.8671454191207886,0.43727555871009827
1,99,0.90625,0.3021215498447418,,
1,139,,,0.9497306942939758,0.21778009831905365
2,149,0.96875,0.1961868703365326,,
2,199,0.9375,0.1741054803133011,,
2,209,,,0.9784560203552246,0.11614610999822617
3,249,0.984375,0.08686868846416473,,
3,279,,,0.9784560203552246,0.08593401312828064
4,299,0.984375,0.03858674690127373,,
4,349,0.9756097197532654,0.04641186073422432,,
4,349,,,0.985637366771698,0.0724434182047844
5,399,1.0,0.02735237032175064,,
5,419,,,0.9838420152664185,0.06509024649858475
6,449,1.0,0.012451371178030968,,
6,489,,,0.9838420152664185,0.060737282037734985
7,499,1.0,0.00942399725317955,,
7,549,1.0,0.014168882742524147,,
7,559,,,0.9838420152664185,0.06038093939423561
8,599,1.0,0.01608600839972496,,
8,629,,,0.9838420152664185,0.05958304926753044
9,649,0.984375,0.027833160012960434,,
9,699,0.9999999403953552,0.003309531370177865,,
9,699,,,0.9838420152664185,0.05959296599030495
